Drug,Disease
CHEBI:5088,MONDO:0009276
CHEBI:5088,MONDO:0007954
CHEBI:5088,MONDO:0010119
CHEBI:3757,MONDO:0011857
CHEBI:3757,MONDO:0008233
CHEBI:3757,MONDO:0007053
CHEBI:3757,MONDO:0007661
CHEBI:3757,MONDO:0007830
CHEBI:3757,MONDO:0010983
CHEBI:3757,OMIM:608622
CHEBI:3757,MONDO:0008071
CHEBI:3757,MONDO:0007743
CHEBI:3757,MONDO:0007754
CHEBI:57972,MONDO:0009855
CHEMBL.COMPOUND:CHEMBL159,MONDO:0010159
CHEMBL.COMPOUND:CHEMBL159,MONDO:0008558
CHEMBL.COMPOUND:CHEMBL159,MONDO:0007845
CHEMBL.COMPOUND:CHEMBL159,MONDO:0010108
CHEMBL.COMPOUND:CHEMBL159,MONDO:0009348
CHEMBL.COMPOUND:CHEMBL159,MONDO:0009691
CHEMBL.COMPOUND:CHEMBL159,MONDO:0016419
CHEBI:10127,MONDO:0011891
CHEBI:10127,MONDO:0009399
CHEBI:10127,MONDO:0008590
CHEBI:10127,MONDO:0020759
CHEBI:10127,MONDO:0020772
CHEBI:10127,MONDO:0011491
CHEBI:10127,MONDO:0011970
CHEBI:10127,MONDO:0008836
CHEBI:10127,MONDO:0011892
CHEBI:10127,MONDO:0010339
CHEBI:10127,MONDO:0009013
CHEBI:10127,MONDO:0011875
CHEBI:10127,MONDO:0009976
CHEBI:2636,MONDO:0010159
CHEMBL.COMPOUND:CHEMBL1621597,MONDO:0008859
CHEMBL.COMPOUND:CHEMBL1621597,MONDO:0008834
CHEMBL.COMPOUND:CHEMBL1621597,MONDO:0010940
CHEBI:567361,MONDO:0004948
CHEBI:567361,MONDO:0010159
CHEBI:567361,MONDO:0009781
CHEBI:567361,MONDO:0007190
CHEBI:567361,MONDO:0021571
CHEBI:3077,MONDO:0011292
CHEBI:3077,MONDO:0007899
CHEBI:3077,MONDO:0007583
CHEBI:3077,MONDO:0007446
CHEBI:4888,MONDO:0009399
CHEBI:4888,MONDO:0009013
CHEBI:5138,MONDO:0008114
CHEBI:5138,MONDO:0008187
CHEBI:64317,MONDO:0008834
CHEBI:64317,MONDO:0020745
CHEBI:64317,MONDO:0010940
CHEBI:48669,MONDO:0007597
CHEBI:48669,MONDO:0007598
CHEBI:48669,MONDO:0007595
CHEBI:48669,MONDO:0009206
CHEBI:48669,MONDO:0010602
CHEBI:6437,MONDO:0011891
CHEBI:6437,MONDO:0009399
CHEBI:6437,MONDO:0020759
CHEBI:6437,MONDO:0020772
CHEBI:6437,MONDO:0011491
CHEBI:6437,MONDO:0011970
CHEBI:6437,MONDO:0011892
CHEBI:6437,MONDO:0010339
CHEBI:6437,MONDO:0009013
CHEBI:6437,MONDO:0011875
CHEBI:7514,MONDO:0008007
CHEBI:7514,MONDO:0009688
CHEBI:7735,MONDO:0010340
CHEBI:7735,MONDO:0008114
CHEBI:7735,MONDO:0005090
CHEBI:50861,MONDO:0024533
CHEBI:50861,MONDO:0008071
CHEBI:7824,MONDO:0011891
CHEBI:7824,MONDO:0020759
CHEBI:7824,MONDO:0020772
CHEBI:7824,MONDO:0011491
CHEBI:7824,MONDO:0011970
CHEBI:7824,MONDO:0008836
CHEBI:7824,MONDO:0011892
CHEBI:7824,MONDO:0010339
CHEBI:7824,MONDO:0009013
CHEBI:7824,MONDO:0011875
CHEBI:7824,MONDO:0009976
CHEBI:9586,MONDO:0009013
CHEBI:681569,MONDO:0009539
DRUGBANK:DB00286,MONDO:0007057
DRUGBANK:DB00286,MONDO:0008980
DRUGBANK:DB00286,MONDO:0011098
DRUGBANK:DB00286,MONDO:0010706
DRUGBANK:DB00286,MONDO:0023122
DRUGBANK:DB00286,MONDO:0016419
DRUGBANK:DB00286,MONDO:0008635
CHEBI:6438,MONDO:0009276
CHEBI:6438,MONDO:0007664
CHEBI:6438,MONDO:0007954
CHEBI:6438,MONDO:0008071
CHEBI:6438,MONDO:0010119
CHEBI:49713,MONDO:0005090
CHEBI:5775,MONDO:0007781
CHEBI:5775,OMIM:608622
CHEBI:5775,MONDO:0008071
CHEBI:58045,MONDO:0009167
CHEBI:58045,MONDO:0011953
CHEBI:58045,MONDO:0009851
CHEBI:58045,MONDO:0009164
CHEBI:4887,MONDO:0009013
CHEBI:4876,MONDO:0008974
CHEBI:4876,MONDO:0008859
CHEBI:4876,MONDO:0009733
CHEBI:4876,MONDO:0010874
CHEBI:4876,MONDO:0008758
CHEBI:4876,OMIM:608622
CHEBI:4876,MONDO:0008829
CHEBI:4876,MONDO:0008071
