drugid,omimid
DB01148,231200
DB01148,155100
DB01148,273800
DB00575,607554
DB00575,171300
DB00575,102300
DB00575,137580
DB00575,147530
DB00575,601042
DB00575,608622
DB00575,161900
DB00575,143465
DB00575,144110
DB00160,261515
DB00570,276300
DB00570,188030
DB00570,148000
DB00570,273300
DB00570,236000
DB00570,254400
DB00570,114480
DB00909,607681
DB00909,239350
DB00909,190300
DB00909,600131
DB00909,607631
DB00909,604827
DB00909,608105
DB00909,208700
DB00909,607682
DB00909,300491
DB00909,217200
DB00909,607628
DB00909,267740
DB01143,276300
DB00332,210050
DB00332,208550
DB00332,600807
DB00242,151400
DB00242,276300
DB00242,258360
DB00242,109543
DB00242,126200
DB00443,603165
DB00443,151590
DB00443,133600
DB00443,125600
DB00754,239350
DB00754,217200
DB00176,164230
DB00176,167870
DB01064,208550
DB01064,115000
DB01064,600807
DB00302,134510
DB00302,134520
DB00302,134430
DB00302,227300
DB00302,134500
DB01202,607681
DB01202,239350
DB01202,600131
DB01202,607631
DB01202,604827
DB01202,608105
DB01202,607682
DB01202,300491
DB01202,217200
DB01202,607628
DB01400,157950
DB01400,254200
DB00334,300494
DB00334,164230
DB00334,181500
DB00374,178600
DB00374,161900
DB00776,607681
DB00776,600131
DB00776,607631
DB00776,604827
DB00776,608105
DB00776,208700
DB00776,607682
DB00776,300491
DB00776,217200
DB00776,607628
DB00776,267740
DB00906,217200
DB00631,247640
DB00286,102500
DB00286,215470
DB00286,601518
DB00286,311360
DB00286,176807
DB00286,114480
DB00286,192000
DB01210,231200
DB01210,137750
DB01210,155100
DB01210,161900
DB01210,273800
DB01356,181500
DB01275,145500
DB01275,608622
DB01275,161900
DB00167,225755
DB00167,608033
DB00167,260970
DB00167,225740
DB00593,217200
DB00903,215140
DB00903,210050
DB00903,256370
DB00903,600351
DB00903,203700
DB00903,608622
DB00903,208300
DB00903,161900
DB01018,608622
DB01018,161900
DB01018,143465
DB00262,276300
DB00262,137800
DB00262,109543
DB00262,267730
DB00262,247640
DB00262,236000
DB00262,254500
DB01109,540000
DB01109,125310
DB01109,601367
DB00630,102500
DB00630,150600
DB00630,166710
DB00630,602080
DB00630,167320
DB00692,171300
DB00692,231200
DB00692,608622
DB00692,155100
DB00692,161900
DB00692,273800
DB00586,607459
DB00586,150600
DB00586,208230
DB00586,308205
DB00586,147530
DB00586,106400
DB00586,140600
DB00586,607850
DB00586,165720
DB00122,607459
DB00122,208230
DB00122,147530
DB00122,140600
DB00122,607850
DB00122,165720
DB00540,252320
DB00540,147530
DB00540,600808
DB00540,167870
DB00540,600631
DB00540,143465
DB01005,276300
DB01005,263300
DB01005,144700
DB01005,155601
DB01005,155600
DB01005,187950
DB01005,605839
DB00773,276300
DB00773,273300
DB00773,236000
DB00773,182280
DB01128,176807
DB01162,600082
DB01162,157950
DB01162,147530
DB01162,608622
DB01162,161900
DB01162,200170
DB01162,144110
DB00549,208550
DB01185,215470
DB01185,241100
DB01185,114480
DB01019,157950
DB01019,109350
DB01019,191800
DB00307,276300
DB00307,254400
DB00945,607459
DB00945,107320
DB00945,150600
DB00945,145590
DB00945,157300
DB00945,208230
DB00945,152700
DB00945,125310
DB00945,147530
DB00945,140600
DB00945,607850
DB00945,165720
DB00945,601367
DB01033,151400
DB01033,109543
DB01033,191390
DB01033,247640
DB01033,266600
DB00401,179600
DB00401,608622
DB00401,161900
DB00861,607459
DB00861,208230
DB00861,147530
DB00861,140600
DB00861,607850
DB00861,165720
DB01359,608622
DB01359,161900
DB00767,145590
DB00697,157300
DB00697,190400
DB00697,601042
DB00697,200170
DB00697,160750
DB01234,181000
DB01234,215140
DB01234,276300
DB01234,601608
DB01234,188030
DB01234,153880
DB01234,233810
DB01234,145590
DB01234,208550
DB01234,152700
DB01234,600351
DB01234,254400
DB01234,133600
DB01234,223350
DB01234,125600
DB01234,166760
DB00284,125853
DB00284,125851
DB00284,600496
DB00284,125850
DB01181,151400
DB01181,276300
DB01181,109543
DB01181,273300
DB01181,247640
DB01181,236000
DB00380,212350
DB00380,212112
DB00380,212130
DB00380,208750
DB00380,226000
DB00380,225740
DB00380,305300
DB00195,137750
DB00195,608622
DB00195,161900
DB01045,246300
DB01136,607554
DB01136,608622
DB01136,161900
DB00491,125853
DB00491,125851
DB00491,600496
DB00491,125850
DB00806,540000
DB00806,125310
DB00806,188050
DB00806,601367
DB00608,181000
DB00952,157300
DB00289,143465
DB00519,146255
DB00519,608622
DB00519,161900
DB00563,276300
DB00563,601626
DB00563,233810
DB00563,208920
DB00563,109543
DB00563,133239
DB00563,267730
DB00563,246470
DB00563,259500
DB00563,273300
DB00563,247640
DB00563,151590
DB00563,236000
DB00563,254400
DB00563,231090
DB00563,223350
DB00563,268220
DB00563,114500
DB00563,114480
DB00563,137215
DB00563,182280
DB00563,109800
DB00695,143880
DB00695,215140
DB00695,166300
DB00695,146255
DB00695,210050
DB00695,256370
DB00695,600351
DB00695,203700
DB00695,608622
DB00695,208300
DB00695,161900
DB00557,145590
DB00557,147530
DB01110,114580
DB01110,212050
DB00747,125320
DB00747,168600
DB00747,190310
DB00747,168100
DB00747,107550
DB00747,226150
DB00747,158280
DB00165,239350
DB00165,217200
DB00458,147530
DB00458,600808
DB00458,167870
DB00458,600631
DB00458,143465
DB00997,276300
DB00997,601626
DB00997,256700
DB00997,259500
DB00997,188470
DB00997,247640
DB00997,236000
DB00997,268220
DB00997,114480
DB00997,137215
DB00997,211980
DB00997,109800
DB00997,254500
DB00997,194070
DB01294,600263
DB00331,125853
DB00331,176800
DB00331,184700
DB00331,125851
DB00331,600496
DB00331,125850
DB00190,125320
DB00190,168600
DB00190,102300
DB00190,168100
DB00445,276300
DB00445,114480
DB00733,254200
DB00244,266600
DB01259,276300
DB01259,114480
DB00731,125853
DB00731,125851
DB00731,600496
DB00731,125850
DB01068,607459
DB01068,254800
DB01068,208230
DB01068,102100
DB01068,102300
DB01068,254770
DB01068,167870
DB01068,140600
DB01068,181500
DB01068,607850
DB01068,165720
DB00163,605055
DB00163,125320
DB00163,606703
DB00163,277460
DB00163,266120
DB00163,230450
DB00163,104300
DB00163,200170
DB00163,231900
DB00800,608622
DB00800,161900
DB00178,146255
DB00178,608622
DB00178,161900
DB00295,147530
DB00741,233810
DB00741,125600
DB00741,166760
DB00343,607554
DB00343,179600
DB00343,608583
DB00343,608622
DB00343,161900
DB01255,300494
DB01255,143465
DB00316,145590
DB00316,157300
DB00316,608088
DB00316,147530
DB00316,140600
DB00887,215140
DB00887,166300
DB00887,146255
DB00887,210050
DB00887,256370
DB00887,600351
DB00887,203700
DB00887,608622
DB00887,208300
DB00887,161900
DB00996,607681
DB00996,165199
DB00996,190300
DB00996,600131
DB00996,157300
DB00996,607631
DB00996,604827
DB00996,102300
DB00996,608105
DB00996,208700
DB00996,147530
DB00996,607682
DB00996,300491
DB00996,607628
DB00996,267740
DB00996,144110
DB00476,165199
DB00476,147530
DB00928,247200
DB00928,258360
DB00928,601004
DB01073,151400
DB01073,276300
DB01073,109543
DB01073,267730
DB01073,247640
DB01073,236000
DB01073,223350
DB00279,138800
DB00279,275000
DB00279,255900
DB00279,140300
DB00397,264120
DB00397,303110
DB00397,608088
DB00397,601665
DB00397,147540
DB00716,208550
DB00716,600807
DB00580,607459
DB00580,208230
DB00580,140600
DB00580,607850
DB00580,165720
DB00898,147530
DB00808,215140
DB00808,256370
DB00808,600351
DB00808,608622
DB00808,161900
DB00475,226150
DB00475,103780
DB01194,601682
DB01194,137750
DB01194,137760
DB01194,161900
DB00715,131300
DB00715,252320
DB00715,164230
DB00715,167870
DB00758,540000
DB00758,125310
DB00758,601367
DB00627,144650
DB00627,144010
DB00240,233810
DB01151,147530
DB01151,143465
DB00988,166300
DB00988,146255
DB00988,310468
DB00988,161900
DB00661,607554
DB00661,157300
DB00661,115000
DB00661,608583
DB00661,115195
DB00661,608622
DB00661,161900
DB00661,200170
DB06287,144700
DB06287,605839
DB01008,276300
DB01008,246470
DB01008,263300
DB01008,254450
DB01008,223350
DB00653,248190
DB00653,239350
DB00653,127350
DB00653,189800
DB00653,217200
DB00590,600082
DB00590,147530
DB00590,179600
DB00590,608622
DB00590,161900
DB00590,200170
DB01217,174800
DB01217,114480
DB01101,276300
DB01101,144700
DB01101,114500
DB01101,176807
DB01101,114480
DB01101,137215
DB00203,178600
DB00203,161900
DB00724,106400
DB00820,178600
DB00820,161900
DB00440,208550
DB00440,604416
DB00440,166760
DB01003,208550
DB01003,191390
DB01003,600807
DB00494,168600
DB00494,168100
DB00960,608622
DB00960,161900
DB00545,252320
DB00545,254200
DB00368,146500
DB00908,607554
DB00908,115000
DB00908,608583
DB00871,210050
DB00871,208550
DB00871,600807
DB00213,190310
DB00213,600263
DB00213,109350
DB00537,258360
DB00537,145590
DB00537,208550
DB00537,166760
DB00537,266600
DB00571,171300
DB00571,140850
DB00571,190300
DB00571,157300
DB00571,110100
DB00571,115000
DB00571,300125
DB00571,608622
DB00571,157700
DB00571,161900
DB00436,215140
DB00436,256370
DB00436,600351
DB00436,608622
DB00436,161900
DB00351,114480
DB00351,109100
DB00351,192000
DB01088,178600
DB01088,145500
DB01088,608622
DB01088,161900
DB00153,146255
DB00153,277440
DB00153,259660
DB00153,241519
DB01176,145590
DB00222,125853
DB00222,125851
DB00222,600496
DB00222,125850
DB00668,208550
DB00668,601682
DB00668,137750
DB00668,137760
DB00668,600807
DB00668,147540
DB01075,145590
DB01075,608088
DB01075,158280
DB01075,147540
DB00433,225755
DB00433,608033
DB00433,145590
DB00433,182830
DB00433,260970
DB00433,225740
DB00437,310468
DB00437,602068
DB00853,276300
DB00853,155601
DB00853,155600
DB00843,605055
DB00843,125320
DB00843,104300
DB00214,215140
DB00214,166300
DB00214,146255
DB00214,600351
DB00214,608622
DB00214,208300
DB00214,161900
DB00918,157300
DB00481,102500
DB00481,166710
DB00481,114480
DB00490,300232
DB00490,259050
DB00490,165150
DB00490,167870
DB00490,156190
DB00490,104130
DB01367,168600
DB01367,168100
DB00215,131300
DB00215,225755
DB00215,608033
DB00215,182830
DB00215,260970
DB00215,164230
DB00215,225740
DB00215,167870
DB00215,103780
DB00201,145590
DB00201,157300
DB00201,147530
DB00201,136200
DB00201,140600
DB00497,147530
DB01577,264120
DB01577,303110
DB01577,601665
DB01577,143465
DB00384,215140
DB00384,210050
DB00384,600351
DB00384,203700
DB00384,208300
DB00783,102500
DB00783,215470
DB00783,311360
DB00783,176807
DB00783,114480
DB00379,115000
DB00515,276300
DB00515,256700
DB00515,133239
DB00515,259500
DB00515,273300
DB00515,236000
DB00515,182280
DB00515,109800
DB00515,254500
DB00851,276300
DB00851,256700
DB00851,236000
DB00851,155601
DB00851,268220
DB00851,155600
DB00635,143880
DB00635,181000
DB00635,276300
DB00635,188030
DB00635,233810
DB00635,208920
DB00635,157300
DB00635,304790
DB00635,146850
DB00635,208550
DB00635,152700
DB00635,600351
DB00635,126200
DB00635,247640
DB00635,151590
DB00635,254400
DB00635,133600
DB00635,223350
DB00635,205700
DB00635,125600
DB00635,109100
DB00635,147540
DB00264,607554
DB00264,190300
DB00264,110100
DB00264,608583
DB00264,608622
DB00264,157700
DB00264,161900
DB00421,215140
DB00421,600351
DB00421,604416
DB00421,608622
DB00421,208300
DB00421,161900
DB00421,104130
DB01050,607459
DB01050,150600
DB01050,145590
DB01050,208230
DB01050,252320
DB01050,147530
DB01050,140600
DB01050,607850
DB01050,165720
DB01083,264120
DB01083,303110
DB01083,601665
DB00968,608622
DB00968,161900
DB00523,148000
DB00285,131300
DB00285,147530
DB00285,164230
DB00285,167870
DB00285,143465
DB00285,607499
DB00313,605055
DB00313,125320
DB00313,239350
DB00313,157300
DB00313,300125
DB00313,104300
DB00313,217200
DB00313,181500
DB00313,104130
DB00492,146255
DB00492,608622
DB00492,161900
DB00591,603165
DB00412,125853
DB00412,125851
DB00412,600496
DB00412,125850
DB00619,276300
DB00619,607685
DB00619,247640
DB00619,131440
DB00175,144010
DB00175,601367
DB00987,276300
DB00987,601626
